Baseline,uhn_DFAA50,uhn_DFAA100,uhn_DFAA150,Loans,Retrofit,EQC,Combined
1290933358.9382985,0.9925777250929468,0.9988550029635217,0.9988550029635217,398876285.1601497,1217517978.5520973,70924771.17632024,0.0
1227663977.2474442,0.9940123390268872,0.9990503259873915,0.9990503259873915,372868796.5323171,1164249790.041163,66217649.157330476,0.0
983511425.9083092,0.9962080392262515,0.9992725901180021,0.9992725901180021,286005701.568524,937383821.4012824,48202915.50659991,0.0
10519329.583351994,1.0,1.0,1.0,2598241.942843238,4124571.9599112608,316143.37023426685,0.0
340798.4839970067,1.0,1.0,1.0,86300.83530561117,75403.88607929798,10000.0,0.0
2385645215.9681745,0.9357185193167735,0.9954402176841425,0.9954402176841425,909606453.8866785,2212996726.804466,199437849.81404716,0.0
287814054.7070307,0.9990705318174471,0.9998922355730373,0.9998922355730373,73816020.72774012,258851958.73027623,14008546.116010753,0.0
0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
1581920994.1496334,0.9813971657955709,0.9981141225281535,0.9981141225281535,532978801.6650758,1485856244.0814638,107174120.97989625,0.0
6159253051.821255,0.7519801713454388,0.9652325017511719,0.9652325017511719,2600103076.28879,5822909714.683414,1385005418.369229,0.0
16624117.231302679,1.0,1.0,1.0,4236223.926375461,9246643.896456953,486392.386225309,0.0
988805616.8388408,0.996194568672881,0.9994409720351312,0.9994409720351312,285220270.7271077,942227747.7437712,49448288.4614639,0.0
395637.6738728598,1.0,1.0,1.0,100274.27729171398,102823.48101722453,11600.0,0.0
95286746.97900842,0.9998316180828708,1.0,1.0,23671400.526331913,85036113.04481073,2846563.8399970466,0.0
1016899530.5341723,0.9959790398189557,0.9993264723314834,0.9993264723314834,297367181.4992239,970486789.609193,50220277.34620174,0.0
76632884.80434613,0.9999461177865187,1.0,1.0,19294226.13856342,70248135.36850466,2265175.627325695,0.0
147523434.50494465,0.9994881189719274,1.0,1.0,36829692.2604822,130598948.81262325,4486412.573562821,0.0
725688.3536812348,1.0,1.0,1.0,182762.07813399943,512170.95235904766,21400.0,0.0
995476330.9923061,0.9961608922894553,0.999353413438224,0.999353413438224,288768994.699436,946286906.972687,49584337.37116961,0.0
131788586.00978647,0.9995352659087235,1.0,1.0,32876236.325273357,116120009.98035264,3922018.9045639155,0.0
9036612.792228287,1.0,1.0,1.0,2217974.3701147744,3513470.431989139,273041.4883153419,0.0
